,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,country
"p[0, 0]",0.0,0.0,0.0,0.0,0.0,0.0,5781.0,2945.0,1.0,Thailand
"p[0, 1]",1.0,0.0,1.0,1.0,0.0,0.0,5781.0,2945.0,1.0,Indonesia
"p[1, 0]",0.0,0.0,0.0,0.0,0.0,0.0,5064.0,2695.0,1.0,Philippines
"p[1, 1]",1.0,0.0,1.0,1.0,0.0,0.0,5064.0,2695.0,1.0,Vietnam
"p[2, 0]",0.0,0.0,0.0,0.0,0.0,0.0,6097.0,3248.0,1.0,Cambodia
"p[2, 1]",1.0,0.0,1.0,1.0,0.0,0.0,6097.0,3248.0,1.0,Malaysia
"p[3, 0]",0.0,0.0,0.0,0.0,0.0,0.0,4783.0,2997.0,1.0,Myanmar
"p[3, 1]",1.0,0.0,1.0,1.0,0.0,0.0,4783.0,2997.0,1.0,Singapore
"p[4, 0]",0.0,0.0,0.0,0.001,0.0,0.0,5075.0,3201.0,1.0,Laos
"p[4, 1]",1.0,0.0,0.999,1.0,0.0,0.0,5075.0,3201.0,1.0,Brunei Darussalam
"p[5, 0]",0.0,0.0,0.0,0.0,0.0,0.0,6181.0,2951.0,1.0,India
"p[5, 1]",1.0,0.0,1.0,1.0,0.0,0.0,6181.0,2951.0,1.0,Sri Lanka
"p[6, 0]",0.0,0.0,0.0,0.0,0.0,0.0,5687.0,2496.0,1.0,Maldives
"p[6, 1]",1.0,0.0,1.0,1.0,0.0,0.0,5687.0,2496.0,1.0,Bangladesh
"p[7, 0]",0.0,0.0,0.0,0.0,0.0,0.0,6315.0,3016.0,1.01,Pakistan
"p[7, 1]",1.0,0.0,1.0,1.0,0.0,0.0,6315.0,3016.0,1.01,Nepal
"p[8, 0]",0.001,0.0,0.0,0.001,0.0,0.0,4994.0,3059.0,1.0,Iran
"p[8, 1]",0.999,0.0,0.999,1.0,0.0,0.0,4994.0,3059.0,1.0,China
"p[9, 0]",0.0,0.0,0.0,0.0,0.0,0.0,6189.0,2836.0,1.0,Saudi Arabia
"p[9, 1]",1.0,0.0,1.0,1.0,0.0,0.0,6189.0,2836.0,1.0,Yemen
"p[10, 0]",0.0,0.0,0.0,0.0,0.0,0.0,4736.0,2450.0,1.0,Cuba
"p[10, 1]",1.0,0.0,1.0,1.0,0.0,0.0,4736.0,2450.0,1.0,Dominican Republic
"p[11, 0]",0.0,0.0,0.0,0.0,0.0,0.0,5522.0,2863.0,1.0,Jamaica
