,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,country
mu_t,12.974,0.191,12.616,13.367,0.002,0.001,8421.0,3036.0,1.0,grand
sd_t,1.782,0.13,1.55,2.046,0.002,0.001,8105.0,3364.0,1.0,grand
mu_i,3.105,0.172,2.773,3.448,0.002,0.001,8050.0,2714.0,1.0,grand
sd_i,1.681,0.126,1.443,1.942,0.002,0.001,6112.0,2820.0,1.0,grand
I[0],2954.163,53.663,2850.591,3063.962,0.522,0.37,10602.0,2600.0,1.0,Thailand
I[1],1137.272,33.948,1075.484,1208.653,0.353,0.251,9294.0,2682.0,1.0,Indonesia
I[2],444.237,20.792,401.818,483.325,0.217,0.154,9258.0,2982.0,1.0,Philippines
I[3],330.1,17.436,296.091,365.004,0.205,0.146,7208.0,2569.0,1.0,Vietnam
I[4],277.223,16.549,246.552,310.399,0.172,0.123,9307.0,2801.0,1.0,Cambodia
I[5],225.448,14.821,198.366,256.605,0.158,0.112,8709.0,2958.0,1.0,Malaysia
I[6],130.572,11.735,107.507,153.586,0.122,0.087,9196.0,2353.0,1.0,Myanmar
I[7],67.59,8.18,51.552,83.229,0.078,0.057,10717.0,2818.0,1.0,Singapore
I[8],40.835,6.259,29.309,53.589,0.065,0.048,9379.0,2745.0,1.0,Laos
I[9],4.598,2.132,1.147,8.872,0.022,0.02,9099.0,2778.0,1.0,Brunei Darussalam
I[10],1345.958,36.7,1272.001,1416.943,0.393,0.28,8834.0,2585.0,1.0,India
I[11],512.966,22.02,470.466,554.719,0.228,0.162,9343.0,3078.0,1.0,Sri Lanka
I[12],367.238,18.621,332.42,404.056,0.227,0.16,6697.0,2714.0,1.0,Maldives
I[13],124.35,10.603,105.133,145.764,0.125,0.09,6734.0,3011.0,1.0,Bangladesh
I[14],66.552,7.998,51.459,82.649,0.095,0.068,7130.0,2416.0,1.0,Pakistan
I[15],54.574,7.383,41.023,69.674,0.07,0.053,11069.0,2566.0,1.0,Nepal
I[16],3.688,1.856,0.746,7.386,0.022,0.02,6702.0,2423.0,1.0,Iran
I[17],24.967,4.925,14.94,34.057,0.058,0.042,6979.0,2383.0,1.0,China
I[18],6.45,2.475,2.31,11.441,0.029,0.023,7044.0,2266.0,1.0,Saudi Arabia
I[19],2.811,1.679,0.288,6.234,0.019,0.018,7338.0,2423.0,1.0,Yemen
I[20],451.917,21.048,410.747,493.709,0.255,0.182,6968.0,2652.0,1.0,Cuba
I[21],169.129,12.72,144.866,194.363,0.117,0.083,11862.0,2796.0,1.0,Dominican Republic
I[22],99.243,9.864,81.07,118.359,0.099,0.07,9940.0,3277.0,1.0,Jamaica
I[23],75.694,8.774,58.505,93.215,0.092,0.068,9125.0,2414.0,1.0,"Guadeloupe, France"
I[24],37.755,6.287,25.719,50.11,0.068,0.052,8673.0,2634.0,1.0,"Martinique, France"
I[25],34.769,5.79,23.684,45.718,0.058,0.045,9914.0,3012.0,1.0,Haiti
I[26],14.128,3.613,6.836,20.857,0.039,0.03,8567.0,2456.0,1.0,Antigua and Barbuda
I[27],9.279,3.006,4.314,15.486,0.032,0.025,7567.0,2953.0,1.0,Barbados
I[28],4.623,2.175,1.012,8.943,0.024,0.023,8241.0,2410.0,1.0,Dominica
I[29],4.603,2.056,1.11,8.582,0.024,0.021,7363.0,2784.0,1.0,"Puerto Rico, United States"
I[30],3.677,1.759,0.688,7.041,0.021,0.018,7016.0,2853.0,1.0,Bahamas
I[31],3.669,1.789,0.817,7.301,0.022,0.019,6149.0,2473.0,1.0,"Leeward Antilles, the Netherlands"
I[32],3.685,1.861,0.807,7.456,0.022,0.02,7489.0,2375.0,1.0,Trinidad and Tobago
I[33],2.803,1.619,0.366,5.943,0.018,0.017,8164.0,2721.0,1.0,Saint Lucia
I[34],297.511,17.241,264.104,331.115,0.192,0.136,7958.0,2837.0,1.0,Brazil
I[35],122.417,10.802,103.096,144.741,0.114,0.082,9022.0,2997.0,1.01,Colombia
I[36],74.531,8.618,57.625,91.68,0.094,0.069,8632.0,2627.0,1.0,Paraguay
I[37],38.809,6.448,27.167,52.181,0.075,0.056,7487.0,2376.0,1.0,Ecuador
I[38],38.86,6.081,27.889,51.08,0.062,0.045,9634.0,3142.0,1.0,Venezuela
I[39],30.968,5.585,20.477,41.643,0.064,0.048,7898.0,2851.0,1.0,Peru
